声明|此应用由是白白吖独立制作
发现bug请反馈给👇🏻|771217201
Test AR|GiveItem 101019999 1 0 0
SPR310双管猎枪|GiveItem 101060005 1 0 0
RPG-7火箭筒|GiveItem 101070001 1 0 0
SKS卡宾枪|GiveItem 101080001 1 0 0
M14卡宾枪|GiveItem 101080004 1 0 0
M96卡宾枪|GiveItem 101080005 1 0 0
Mini14卡宾枪|GiveItem 101080006 1 0 0
SA85M卡宾枪|GiveItem 101080007 1 0 0
BM59卡宾枪|GiveItem 101080008 1 0 0
SVTU卡宾枪|GiveItem 101080009 1 0 0
M16卡宾枪|GiveItem 101080010 1 0 0
战术复合弩|GiveItem 101090001 1 0 0
RPG-7火箭筒|GiveItem 101100001 1 0 0
M2火焰喷射器|GiveItem 101100002 1 0 0
MK3信号枪|GiveItem 102010014 1 0 0
神秘来客信号枪|GiveItem 102010016 1 0 0
空手|GiveItem 103020001 1 0 0
破门C4|GiveItem 104010002 1 0 0
M18烟雾弹|GiveItem 104020001 1 0 0
Z3震撼弹|GiveItem 104030001 1 0 0
M84闪光弹|GiveItem 104040001 1 0 0
燃烧瓶|GiveItem 104050001 1 0 0
幽绿鸦尾特调|GiveItem 104050002 1 0 0
猩红鸦尾特调|GiveItem 104050003 1 0 0
眩紫鸦尾特调|GiveItem 104050004 1 0 0
X 5脚步发生器|GiveItem 104060001 1 0 0
GLI-F4催泪烟雾弹|GiveItem 104070001 1 0 0
南瓜臭气袋|GiveItem 104070002 1 0 0
阿贾克斯快乐臭臭包|GiveItem 104070003 1 0 0
实验型催泪烟雾弹|GiveItem 104070004 1 0 0
“脑冻”减速手雷|GiveItem 104070005 1 0 0
“烟花”铝热剂|GiveItem 104070006 1 0 0
Boss专用Z3震撼弹|GiveItem 104100001 1 0 0
尖叫摔炮|GiveItem 104110002 1 0 0
实验型创伤手雷|GiveItem 104110003 1 0 0
实验型震撼手雷|GiveItem 104110004 1 0 0
实验型闪光手雷|GiveItem 104110005 1 0 0
C4粘性炸弹|GiveItem 104120001 1 0 0
阔剑地雷|GiveItem 104140001 1 0 0
声纹干扰装置|GiveItem 104140002 1 0 0
信号扫描仪|GiveItem 104140003 1 0 0
彩蛋箱扫描仪|GiveItem 104140005 1 0 0
M290震撼弹|GiveItem 104150001 1 0 0
SG30烟雾弹|GiveItem 104160001 1 0 0
K-58震撼弹|GiveItem 104180001 1 0 0
头痛到爆|GiveItem 104190001 1 0 0
鸦尾特调瓶|GiveItem 104190002 1 0 0
鸿运当头|GiveItem 104200001 1 0 0
RDG-2烟雾弹|GiveItem 104210001 1 0 0
