机密文件|GiveWeapon 408080027
理想国|GiveItem 408080040 1 0 0
盛宴雕塑|GiveItem 408080039 1 0 0
宝石项链|GiveWeapon 408080029
目标定位模块|GiveWeapon 019
金狮子|GiveWeapon lion
茶壶|GiveWeapon teapot
周大福项链|GiveWeapon 801
好运红包|GiveWeapon 804
地图（废案）|GiveWeapon map
货单|GiveWeapon document
传说狗牌|GiveWeapon 999
维修手册|GiveWeapon Intelligence
作战指南针|GiveWeapon  813
大型扩展箱|GiveWeapon item
宫廷银器|GiveWeapon china
前线要塞凭证（废案）|GiveWeapon 815
工作日志|GiveWeapon 900
食品保鲜箱|GiveWeapon nick
暗区情报|GiveWeapon anqu
测温计|GiveWeapon 014
医用棉球|GiveWeapon 015
破旧书籍|GiveWeapon 016
手表芯片|GiveWeapon jx
宝剑塔罗牌|GiveWeapon done
马刺|GiveWeapon 408080022
天线|GiveWeapon810
液压扳手|GiveWeapon805
数据连接线|GiveWeapon 814
首领通行证|GiveWeapon 408150004
农场特殊通行证|GiveWeapon 408150003
保卫队队长证|GiveWeapon 408150005
金链|GiveWeapon 408080023
金块|GiveWeapon 408080024
钻戒|GiveWeapon 408080025
胸针|GiveWeapon 408080026
金魔方|GiveWeapon 408080028
金杯|GiveWeapon 408080030
专用电池组|GiveItem 408040005 2 0 0
暗区大鹅|GiveItem 408990032 1 0 0
暗区金兔|GiveItem 408990045 1 0 0
暗区招|GiveItem 408990050 1 0 0
闪闪招|GiveItem 408990051 1 0 0
一键三连奖|GiveItem 408990085 1 0 0
洛天依手办|GiveItem 408990091 1 0 0
小猪妖手办|GiveItem 408990092 1 0 0
黄金战盔|GiveItem 408990065 1 0 0
白银战盔|GiveItem 408990066 1 0 0
农场相片·慌不择路|GiveWeapon 0089
教官单挂|GiveWeapon fc
al突击单挂甲|GiveWeapon rolf
治安官重型|GiveWeapon 6b43
6b45重型|GiveWeapon ab
斯巴达B型|GiveWeapon 6b13
b6单挂|GiveWeapon mk3
6b5单挂甲|GiveWeapon 6b3
斯巴达C|GiveWeapon 6b5
战神头|GiveWeapon F70
三级头|GiveWeapon 6b4
PM-R弹挂甲|GiveWeapon fred
ind四级|GiveWeapon rf
03重|GiveWeapon 800
博雷罗手表|GiveWeapon wm
野战登山包|GiveWeapon kj
勇士弹挂甲|GiveWeapon lk
KN复活甲|GiveWeapon 094
bt201大白鹅|GiveWeapon 201
野营背囊|GiveWeapon sf
防毒面具|GiveWeapon s10
星空户外包|GiveWeapon yellow
fa指挥官|GiveWeapon black
b3通用|GiveWeapon Command
luc背包|GiveWeapon 118
迷彩奔尼帽（废案）|GiveWeapon 01
无畏者3单挂（废案）|GiveWeapon kv
尖顶骑兵帽（废案）|GiveWeapon vk
冬日登山背包|GiveWeapon yr
