人物大小|ChangeSize 100
调整天气为晴天|DebugSetWeather 0
调整天气为雨天|DebugSetWeather 1
调整为黑夜|DebugSetWeather 3
准心销毁|DestroyTarget
结束游戏进程|Exit
飞行模式|Fly
绿车（有钥匙）|SpawnVehicle 0
红车（有钥匙）|SpawnVehicle 1
红车（有钥匙）|SpawnVehicle 1 AMV-110
红车（有钥匙）|SpawnVehicle 1 MiningT1
灰车（没钥匙）|SpawnVehicle 2
灰车（没钥匙）|SpawnVehicle 2 MiningT1
绿车（有钥匙）|SpawnVehicle MiningT1
绿车（有钥匙）|SpawnVehicle T1Pickup
准星传送|Teleport
无后坐力|ToggleBulletRecoil 0
1/3人称切换|ToggleCamera
开启自由视角|ToggleDebugCamera
视野大小|fov 100
幽灵模式|ghost
自身无敌|god
全员无敌|gods
前线要塞|open Armory_Main
矿区|open Breakout_Main
矿山|open Cave_Main
军港|open CitySiege_Main
庭院|open DE_Yard_Main
Uam-MultiAIPerformance|open DeathTest
农场|open Farmland_715_Main
农场半图|open Farmland_Main_HalfMode
大厅主界面|open FrontEndMap?goto=hallroom
北部山区|open Lake_Main
北山-载具测试|open Lake_Main_vehicle
MissionFlow测试专用地图|open MissionFlowTestMap
PCGTest|open PCGTestMap1
PCGTest|open PCGTestMap2
PCGTest|open PCGTestMap3
新训练场|open Range_Main
北部山区|open Shoreline_Main
电视台|open TVStation_Main
活动测试地图|open TestLevel_kaiqimu
空间音频测试|open TestMap_SpatialAudio
新手农场|open TutorialFarmland_Main
旧训练场|open TutorialRange_Main
农场|open Tutorial_CG_Main
农场|open Tutorial_OS_Plot_Main
AI测试地图|open Uam-AITest-WhiteFilm
战斗测试地图|open Uam-BattleTest
模型测试地图|open Uam-LDTestModel
模式测试地图|open Uam-ModeLogicTest
Uam-MultiAIPerformance|open Uam-MultiAIPerformance
Uam-TestMap-Loot|open Uam-TestMap-Loot
测试地图|open Uam-TestMap2
匹配压测专用地图|open Uam-TestMap3
主题活动测试地图|open Uam-TestMap3_wang
测试地图4|open Uam-TestMap4
测试图6|open Uam-TestMap6
旧山谷|open Valley_715_Main
新山谷|open Valley_Main
湾区|open WarCity_Main
跳过DLC|skipdlc
人物加速|slomo 5
生成乔尔教官（仅旧训练场可刷新）|summon BP_Tutorials_Coach_Custom_C
生成特遣人机|summon BP_UamAICharacter_C
生成特遣复制体|summon BP_UamCharacter_C
取消飞行/取消幽灵模式|walk
训练场(刷皮肤进仓库/改枪)|open TutorialRange_Main?SGGM=1-8-0-0
新手教程1|Open Farmland_715_Main?SGGM=1-2-0-91
新手教程2|open Farmland_715_Main?SGGM=1-2-0-100
剧情模式|open Armory_main?SGGM=2-2-0-37
